Table Name,State Code,Distt. Code,Area Name,Total/ Rural/ Urban,Age-group,Total Persons,Total Males,Total Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational level - Literate without educational level - Persons,Educational level - Literate without educational level - Males,Educational level - Literate without educational level - Females,Educational level - Below Primary - Persons,Educational level - Below Primary - Males,Educational level - Below Primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Persons,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Males,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females,Educational level - Unclassified - Persons,Educational level - Unclassified - Males,Educational level - Unclassified - Females
C2508SC,1,0,State - JAMMU & KASHMIR,Total,All ages,924991,486232,438759,364887,156751,208136,560104,329481,230623,12786,7145,5641,85757,48373,37384,133662,75634,58028,161158,96748,64410,101758,63935,37823,42374,23842,18532,97,65,32,1466,1094,372,19400,11808,7592,1646,837,809
C2508SC,1,0,State - JAMMU & KASHMIR,Total,0-6,126717,68075,58642,126717,68075,58642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,1,0,State - JAMMU & KASHMIR,Total,7,19224,10307,8917,4968,2522,2446,14256,7785,6471,205,130,75,13940,7590,6350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,65,46
C2508SC,1,0,State - JAMMU & KASHMIR,Total,8,19439,10447,8992,2454,1185,1269,16985,9262,7723,103,56,47,16802,9157,7645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,49,31
C2508SC,1,0,State - JAMMU & KASHMIR,Total,9,17582,9550,8032,1528,664,864,16054,8886,7168,85,53,32,14596,8056,6540,1347,763,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,12
C2508SC,1,0,State - JAMMU & KASHMIR,Total,10,20251,10923,9328,1824,849,975,18427,10074,8353,97,52,45,13076,7270,5806,5216,2733,2483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,19,19
C2508SC,1,0,State - JAMMU & KASHMIR,Total,11,19783,10507,9276,1339,559,780,18444,9948,8496,74,47,27,6864,3815,3049,11477,6075,5402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11,18
C2508SC,1,0,State - JAMMU & KASHMIR,Total,12,20839,11009,9830,1394,549,845,19445,10460,8985,93,50,43,3255,1712,1543,14538,7863,6675,1531,818,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,11
C2508SC,1,0,State - JAMMU & KASHMIR,Total,13,20234,10668,9566,1293,489,804,18941,10179,8762,88,45,43,1347,700,647,12911,7012,5899,4571,2411,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,13
C2508SC,1,0,State - JAMMU & KASHMIR,Total,14,20010,10595,9415,1345,488,857,18665,10107,8558,100,44,56,804,429,375,8204,4538,3666,9532,5085,4447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,14
C2508SC,1,0,State - JAMMU & KASHMIR,Total,15,20235,10641,9594,1594,580,1014,18641,10061,8580,124,60,64,507,262,245,4899,2721,2178,10053,5338,4715,3038,1670,1368,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10
C2508SC,1,0,State - JAMMU & KASHMIR,Total,16,19815,10516,9299,1605,594,1011,18210,9922,8288,136,74,62,426,217,209,3248,1767,1481,8233,4501,3732,6145,3349,2796,0,0,0,0,0,0,0,0,0,0,0,0,22,14,8
C2508SC,1,0,State - JAMMU & KASHMIR,Total,17,18723,10063,8660,1452,565,887,17271,9498,7773,183,103,80,377,212,165,2324,1311,1013,6326,3542,2784,8039,4316,3723,0,0,0,0,0,0,0,0,0,0,0,0,22,14,8
C2508SC,1,0,State - JAMMU & KASHMIR,Total,18,21676,11549,10127,2232,880,1352,19444,10669,8775,251,140,111,452,266,186,2760,1563,1197,6480,3554,2926,6107,3401,2706,3315,1696,1619,5,5,0,54,33,21,0,0,0,20,11,9
